#Thorlabs FTS
[SpectrumHeader]
#Date,20250203
#Time,15375844
#GMTTime,23375844
#Instrument,0
#InstrModel,CCS100
#Series,0
#InterferometerSerial,M00997582
#Type,emission
#ChannelIndex,0
#XAxisUnit,nm_air
#YAxisUnit,intensity
#Average,1
#RollingAverage,0
#SpectrumSmooth,0
#SSmoothParam1,0
#SSmoothParam2,0
#SSmoothParam3,0
#SSmoothParam4,0
#IntegrationTime,100.000000
#TriggerMode,0
#AirMeasureOpt,0
#AirTemp,0.00
#AirPressure,0.00
#AirRelHum,0.00
#WnrMin,13448.815430
#WnrMax,31151.394531
#Length,3648
#Resolution,0.0000000000e+00
#ADC,0
#InstrStatus,0
#RefLaserLocked,0
#ChannelIndex,0
#AttenuationFilter,0
#Stitched,0
#ExcitationWavelength_nm,0
#SoftwareVersion,3.350000
#FirmwareVersion,
#Motor_FirmwareVersion,
#ReconstructionAlgorithms_SoftwareVersion,
#Sensor_FirmwareVersion,
#InstrSeriesIdentifier,MUN_CCS_SERIES
#RefGainIndex,0
#RefSignalInPerecent,0.0
#BBRefGainIndex,0
#BBRefSignalInPerecent,0.0
#AutogainStatus,0
#Name,
#Comment,""
#ExtComment,""
#Source,
[Data]
Pixel Number,Measured Signal
3.595684814e+02,-6.633977173e-04
3.596787415e+02,1.977526816e-03
3.597890015e+02,-1.138384105e-03
3.598992920e+02,2.675756987e-04
3.600095520e+02,6.855637184e-04
3.601198425e+02,1.155800273e-04
3.602301331e+02,-1.347378129e-03
3.603404236e+02,-7.393955602e-04
3.604507446e+02,8.565588505e-04
3.605610352e+02,9.325566934e-04
3.606713562e+02,3.815724340e-04
3.607816772e+02,1.407543081e-03
3.608919983e+02,1.369544188e-03
3.610023193e+02,-1.741616870e-05
3.611126709e+02,7.615615614e-04
3.612229919e+02,-7.203960558e-04
3.613333435e+02,2.167521277e-03
3.614436951e+02,-1.504123647e-04
3.615540771e+02,1.616537105e-03
3.616644287e+02,4.599452019e-03
3.617748108e+02,9.515561396e-04
3.618851929e+02,5.905664293e-04
3.619955750e+02,5.525675369e-04
3.621059570e+02,-1.884112862e-04
3.622163391e+02,1.939527923e-03
3.623267517e+02,-6.823971635e-04
3.624371643e+02,-5.494009820e-04
3.625475769e+02,8.945577429e-04
3.626579895e+02,-4.734031390e-04
3.627684021e+02,6.095659337e-04
3.628788452e+02,9.325566934e-04
3.629892883e+02,-9.673890308e-04
3.630997009e+02,9.135572473e-04
3.632101746e+02,1.445541973e-03
3.633206177e+02,1.583288054e-06
3.634310608e+02,2.295767772e-04
3.635415344e+02,7.425621152e-04
3.636520081e+02,-9.483895847e-04
3.637624817e+02,4.195713263e-04
3.638729553e+02,8.945577429e-04
3.639834595e+02,-4.544036638e-04
3.640939636e+02,1.915778557e-04
3.642044373e+02,2.243519295e-03
3.643149414e+02,1.331545296e-03
3.644254761e+02,7.425621152e-04
3.645359802e+02,7.805610076e-04
3.646465149e+02,-1.884112862e-04
3.647570496e+02,1.217548503e-03
